"Player","Position","OVR","Potential","Season","Competition","Appearances","Goals","Assists","Clean Sheets","Goals Conceded","Saves","Yellow Cards","Red Cards","Minutes","Man of the Match","Avg Rating"
"Róger Krug Guedes","ST","77","80","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Róger Krug Guedes","ST","77","80","2026","Friendly matches","1","0","0","0","0","0","0","0","3","0","6.00"
"Wallace Yan de Souza Barreto","ST","72","80","2026","Friendly matches","2","2","0","1","1","0","0","0","180","1","8.00"
"Wallace Yan de Souza Barreto","ST","72","80","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"João Victor de Souza Cunha","CB","66","73","2026","Friendly matches","3","0","0","2","1","0","0","0","270","0","7.37"
"João Victor de Souza Cunha","CB","66","73","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Joshua","CAM","66","76","2026","Friendly matches","1","0","0","0","0","0","0","0","58","0","6.90"
"Joshua","CAM","66","76","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Evertton Gustavo Fernandes Araújo","CM","73","77","2026","Friendly matches","3","1","0","2","1","0","1","0","270","0","8.17"
"Evertton Gustavo Fernandes Araújo","CM","73","77","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Francisco Dyogo Bento Alves","GK","66","74","2026","Friendly matches","3","0","0","2","1","1","0","0","270","0","7.03"
"Francisco Dyogo Bento Alves","GK","66","74","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Daniel dos Santos Sales","RB","64","69","2026","Friendly matches","3","0","1","2","1","0","0","0","270","0","7.63"
"Daniel dos Santos Sales","RB","64","69","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Douglas Costa Telles","RW","63","70","2026","Friendly matches","2","0","0","0","1","0","0","0","148","0","7.00"
"Douglas Costa Telles","RW","63","70","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Alex Sandro Lobo Silva","LB","77","78","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Alex Sandro Lobo Silva","LB","77","78","2026","Friendly matches","1","0","0","1","0","0","0","0","90","0","6.00"
"Danilo","CB","76","77","2026","Friendly matches","1","0","0","0","0","0","0","0","15","0","6.00"
"Danilo","CB","76","77","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Jorginho","CDM","80","80","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Jorginho","CDM","80","80","2026","Friendly matches","1","0","0","1","0","0","0","0","90","0","7.30"
"Saúl Ñíguez Esclápez","CM","77","77","2026","Friendly matches","1","1","0","0","0","0","0","0","32","0","7.00"
"Saúl Ñíguez Esclápez","CM","77","77","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Guillermo Varela","RB","77","77","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Guillermo Varela","RB","77","77","2026","Friendly matches","1","0","0","1","0","0","0","0","90","0","6.90"
"Leonardo Pereira","CB","78","78","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Leonardo Pereira","CB","78","78","2026","Friendly matches","1","0","0","1","0","0","0","0","90","0","6.70"
"Giorgian De Arrascaeta","CAM","81","81","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Giorgian De Arrascaeta","CAM","81","81","2026","Friendly matches","1","0","1","1","0","0","0","0","88","0","7.40"
"Jorge Carrascal","CAM","75","79","2026","Friendly matches","1","0","0","0","0","0","0","0","32","0","7.20"
"Jorge Carrascal","CAM","75","79","2026","Friendly matches","1","0","0","0","0","0","0","0","3","0","5.60"
"Agustín Rossi","GK","79","79","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Agustín Rossi","GK","79","79","2026","Friendly matches","1","0","0","1","0","4","0","0","90","0","7.60"
"Bruno Henrique Pinto","LM","77","78","2026","Friendly matches","1","1","0","1","0","0","0","0","90","0","7.30"
"Bruno Henrique Pinto","LM","77","78","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Ayrton Lucas Dantas de Medeiros","LB","75","77","2026","Friendly matches","3","0","2","2","1","0","0","0","270","1","8.33"
"Ayrton Lucas Dantas de Medeiros","LB","75","77","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Pedro","ST","80","81","2026","Friendly matches","1","1","1","1","0","0","0","0","90","0","9.90"
"Pedro","ST","80","81","2026","Friendly matches","1","0","0","1","0","0","0","0","88","0","6.50"
"Lucas Tolentino Coelho de Lima","CM","80","80","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Lucas Tolentino Coelho de Lima","CM","80","80","2026","Friendly matches","1","0","0","1","0","0","0","0","90","0","6.90"
"Luiz de Araújo G. Neto","RM","77","79","2026","Friendly matches","1","0","0","0","0","0","0","0","32","0","6.70"
"Luiz de Araújo G. Neto","RM","77","79","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Leonardo Rach Ortiz","CB","77","78","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Leonardo Rach Ortiz","CB","77","78","2026","Friendly matches","1","0","0","1","0","0","0","0","90","0","6.50"
"Gonzalo Plata","RW","77","80","2026","Friendly matches","2","2","3","1","1","0","0","0","180","1","9.60"
"Gonzalo Plata","RW","77","80","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Samuel Dias Lino","LM","78","81","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Samuel Dias Lino","LM","78","81","2026","Friendly matches","1","1","0","1","0","0","0","0","90","0","7.60"
"Vitão","CB","76","80","2026","Friendly matches","3","0","0","2","1","0","0","0","255","0","7.13"
"Vitão","CB","76","80","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Rayan Lucas","CDM","67","82","2026","Friendly matches","3","0","0","1","1","0","0","0","238","0","7.70"
"Rayan Lucas","CDM","67","82","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"Lorran","CAM","65","80","2026","Friendly matches","2","0","0","1","1","0","0","0","180","0","7.65"
"Lorran","CAM","65","80","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"David Neres","LW","81","81","2026","Friendly matches","0","0","0","0","0","0","0","0","0","0",""
"David Neres","LW","81","81","2026","Friendly matches","1","0","0","1","0","0","0","0","90","0","7.60"
